"","province","sex","as.factor(age)","employed","bornin_canada","edu","n"
"784","Quebec","Male","45 to 59",0,0,0,2
"785","Quebec","Male","45 to 59",0,0,1,9
"786","Quebec","Male","45 to 59",0,1,0,62
"787","Quebec","Male","45 to 59",0,1,1,30
"788","Quebec","Male","45 to 59",1,0,0,14
"789","Quebec","Male","45 to 59",1,0,1,37
"790","Quebec","Male","45 to 59",1,1,0,115
"791","Quebec","Male","45 to 59",1,1,1,133
"792","Quebec","Male","60 to 74",0,0,0,12
"793","Quebec","Male","60 to 74",0,0,1,13
"794","Quebec","Male","60 to 74",0,1,0,165
"795","Quebec","Male","60 to 74",0,1,1,123
"796","Quebec","Male","60 to 74",1,0,0,6
"797","Quebec","Male","60 to 74",1,0,1,10
"798","Quebec","Male","60 to 74",1,1,0,61
"799","Quebec","Male","60 to 74",1,1,1,43
"800","Quebec","Male","75 and above",0,0,0,7
"801","Quebec","Male","75 and above",0,0,1,10
"802","Quebec","Male","75 and above",0,1,0,79
"803","Quebec","Male","75 and above",0,1,1,47
"804","Quebec","Male","75 and above",1,0,1,1
"805","Quebec","Male","75 and above",1,1,0,6
"806","Quebec","Male","75 and above",1,1,1,4
"807","Quebec","Male","NA",0,0,0,4
"808","Quebec","Male","NA",0,0,1,3
"809","Quebec","Male","NA",0,1,0,46
"810","Quebec","Male","NA",0,1,1,14
"811","Quebec","Male","NA",1,0,0,3
"812","Quebec","Male","NA",1,0,1,13
"813","Quebec","Male","NA",1,1,0,29
"814","Quebec","Male","NA",1,1,1,19
"815","Saskatchewan","Female","18 to 29",0,0,0,2
"816","Saskatchewan","Female","18 to 29",0,0,1,1
"817","Saskatchewan","Female","18 to 29",0,1,0,9
"818","Saskatchewan","Female","18 to 29",0,1,1,7
"819","Saskatchewan","Female","18 to 29",1,0,0,3
"820","Saskatchewan","Female","18 to 29",1,0,1,4
"821","Saskatchewan","Female","18 to 29",1,1,0,16
"822","Saskatchewan","Female","18 to 29",1,1,1,26
"823","Saskatchewan","Female","30 to 44",0,0,0,3
"824","Saskatchewan","Female","30 to 44",0,0,1,7
"825","Saskatchewan","Female","30 to 44",0,1,0,9
"826","Saskatchewan","Female","30 to 44",0,1,1,26
"827","Saskatchewan","Female","30 to 44",1,0,0,4
"828","Saskatchewan","Female","30 to 44",1,0,1,16
"829","Saskatchewan","Female","30 to 44",1,1,0,21
"830","Saskatchewan","Female","30 to 44",1,1,1,51
"831","Saskatchewan","Female","45 to 59",0,0,0,2
"832","Saskatchewan","Female","45 to 59",0,0,1,2
"833","Saskatchewan","Female","45 to 59",0,1,0,14
"834","Saskatchewan","Female","45 to 59",0,1,1,16
"835","Saskatchewan","Female","45 to 59",1,0,0,2
"836","Saskatchewan","Female","45 to 59",1,0,1,4
"837","Saskatchewan","Female","45 to 59",1,1,0,31
"838","Saskatchewan","Female","45 to 59",1,1,1,40
"839","Saskatchewan","Female","60 to 74",0,0,0,5
"840","Saskatchewan","Female","60 to 74",0,0,1,2
"841","Saskatchewan","Female","60 to 74",0,1,0,52
"842","Saskatchewan","Female","60 to 74",0,1,1,46
"843","Saskatchewan","Female","60 to 74",1,0,0,1
"844","Saskatchewan","Female","60 to 74",1,0,1,3
"845","Saskatchewan","Female","60 to 74",1,1,0,21
"846","Saskatchewan","Female","60 to 74",1,1,1,16
"847","Saskatchewan","Female","60 to 74",NA,1,1,1
"848","Saskatchewan","Female","75 and above",0,0,0,10
"849","Saskatchewan","Female","75 and above",0,1,0,49
"850","Saskatchewan","Female","75 and above",0,1,1,33
"851","Saskatchewan","Female","75 and above",1,1,0,3
"852","Saskatchewan","Female","75 and above",1,1,1,2
"853","Saskatchewan","Female","NA",0,0,0,2
"854","Saskatchewan","Female","NA",0,0,1,1
"855","Saskatchewan","Female","NA",0,1,0,16
"856","Saskatchewan","Female","NA",0,1,1,6
"857","Saskatchewan","Female","NA",1,0,1,4
"858","Saskatchewan","Female","NA",1,1,0,7
"859","Saskatchewan","Female","NA",1,1,1,2
"860","Saskatchewan","Male","18 to 29",0,0,0,3
"861","Saskatchewan","Male","18 to 29",0,1,0,14
"862","Saskatchewan","Male","18 to 29",0,1,1,1
"863","Saskatchewan","Male","18 to 29",1,0,0,2
"864","Saskatchewan","Male","18 to 29",1,0,1,3
"865","Saskatchewan","Male","18 to 29",1,1,0,31
"866","Saskatchewan","Male","18 to 29",1,1,1,7
"867","Saskatchewan","Male","30 to 44",0,0,0,1
"868","Saskatchewan","Male","30 to 44",0,0,1,2
"869","Saskatchewan","Male","30 to 44",0,1,0,6
"870","Saskatchewan","Male","30 to 44",0,1,1,4
"871","Saskatchewan","Male","30 to 44",1,0,0,4
"872","Saskatchewan","Male","30 to 44",1,0,1,20
"873","Saskatchewan","Male","30 to 44",1,1,0,58
"874","Saskatchewan","Male","30 to 44",1,1,1,49
"875","Saskatchewan","Male","45 to 59",0,0,1,1
"876","Saskatchewan","Male","45 to 59",0,1,0,17
"877","Saskatchewan","Male","45 to 59",0,1,1,6
"878","Saskatchewan","Male","45 to 59",1,0,0,5
"879","Saskatchewan","Male","45 to 59",1,0,1,8
"880","Saskatchewan","Male","45 to 59",1,1,0,44
"881","Saskatchewan","Male","45 to 59",1,1,1,27
"882","Saskatchewan","Male","60 to 74",0,0,0,5
"883","Saskatchewan","Male","60 to 74",0,0,1,3
"884","Saskatchewan","Male","60 to 74",0,1,0,48
"885","Saskatchewan","Male","60 to 74",0,1,1,20
"886","Saskatchewan","Male","60 to 74",1,0,0,2
"887","Saskatchewan","Male","60 to 74",1,0,1,4
"888","Saskatchewan","Male","60 to 74",1,1,0,40
"889","Saskatchewan","Male","60 to 74",1,1,1,14
"890","Saskatchewan","Male","75 and above",0,0,0,3
"891","Saskatchewan","Male","75 and above",0,0,1,3
"892","Saskatchewan","Male","75 and above",0,1,0,35
"893","Saskatchewan","Male","75 and above",0,1,1,16
"894","Saskatchewan","Male","75 and above",1,1,0,3
"895","Saskatchewan","Male","75 and above",1,1,1,1
"896","Saskatchewan","Male","NA",0,0,1,1
"897","Saskatchewan","Male","NA",0,1,0,15
"898","Saskatchewan","Male","NA",0,1,1,1
"899","Saskatchewan","Male","NA",1,0,0,4
"900","Saskatchewan","Male","NA",1,1,0,15
"901","Saskatchewan","Male","NA",1,1,1,9
